location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Category,Bölüm,,yes,terminology,"a descriptive schema of a database Primary Object",Gramps_Glossary/tr#category
,Celebrant,Papaz,,yes,,"a term to identify a Role as the person who performs a rite",Gramps_Glossary/tr#celebrant
,center,merkez,,False,,,
,center person,merkez kişi,,False,,,
,central person,merkezi kişi,,False,,,Muu keskushenkilö kuin aktiivihenkilö
,chart,çizelge,,False,,,
,charts,çizelgeler,,False,,,
,checksum,sağlama,,False,,,
,child,çocuk,,False,,,
,Choose font,Yazı tipi seç,,False,,,
,circa,yaklaşık,,False,,,
,circle,daire,,False,,,
,Citation,Alıntı,,yes,terminology,"information that enables locating specific content in source material",Gramps_Glossary/tr#citation
,Citations,Alıntılar,,yes,terminology,"a set of references crediting and locating sources supporting research records",Gramps_Glossary/tr#citation
,city,şehir,,False,,,
,Civil union,Medeni birliktelik,,False,,,
,Clergy,Din adamı,,yes,terminology,"a term to identify a Religious Event Role as being an officiator",Gramps_Glossary/tr#clergy
,Clipboard,Clipboard,,yes,terminology,"shortcut system for sharing secondary objects, navigation, and for custom filter creation",Gramps_Glossary/tr#clipboard
,Close,Kapat,,False,,,
,collapse,daralt,,False,,,
,colors,renkler,,False,,,
,Color Swatch,Color Swatch,,yes,terminology,"",Gramps_Glossary/tr#color_swatch
,column,sütun,,False,,,
,common ancestor,ortak ata,,False,,,
,common,genel,,False,,,
,Compare_Individual_Events,Bireysel_Etkinlikleri_Karşılaştırın,,False,,,
,Compound surname,Birleşik soyad,,False,,,
,confidence,güven,,False,,,
,configuration,yapılandırma,,False,,,
,Configure,Configure,,yes,terminology,"user-configurable settings that customize local view mode behavior",Gramps_Glossary/tr#configure
,config,yapılandırma,,False,,,
,connection,bağlantı,,False,,,
,connector,bağlayıcı,,False,,,
,Content,İçerik,,False,,,
,Context menu,Context menu,,yes,terminology,"GUI term: pop-up menu of options appropriate for the right-clicked item",Gramps_Glossary/tr#context_menu
,coordinates,koordinatlar,,False,,,
,creamation,ölü yakma,,False,,,
,CSV,CSV,,yes,,"an acronym for the Comma Separated Value data interchange format in plain-text with delimiters",Gramps_Glossary/tr#json
,Current Name,Geçerli Ad,,False,,,
,current person,mevcut kişi,,False,,,
,Custom Filter,Özel Süzgeç,,yes,terminology,"a rule system for displaying only those records that match certain criteria",Gramps_Glossary/tr#filter
,Custom_Filters,Özel_Süzgeç,,False,,,manual
,custom Types,custom Types,,yes,terminology,"user-defined classification; as opposed to classifications that came pre-defined",Gramps_Glossary/tr#custom
,dashboard,gösterge,,False,,,
,database,veri tabanı,,False,,,
,data,veri,,False,,,
,Date,Tarih,,yes,terminology,"time period with specific quality, precision, and calendar endpoints",Gramps_Glossary/tr#date
,day,gün,,False,,,
,days,günler,,False,,,
,D.D4,D.D4,,False,,,
,D.D8,D.D8,,False,,,
,death,ölü,,False,,,
,debug,hata ayıklama,,False,,,
,Default,Varsayılan,,False,,,
,Define_Filter_dialog,Süzgeç_Tanımlama_penceresi,,False,,,manual
,delete,sil,,False,,,
,Delimiter,Sınırlayıcı,,False,,,
,Descendant,Altsoy,,False,,,
,descendant fan,altsoy yelpaze,,False,,,
,descendants,torunlar,,False,,,alt soy
,detach,ayır,,False,,,
,detail,ayrıntı,,False,,,
,dialog,iletişim kutusu,,False,,,
,directory,dizin,,False,,,
,discourse,söylem,,False,,,
,display,göstermek,,False,,,
,diverse,türlü,,False,,,"kullanım yerine göre ""çeşitli"" kelimesi de kullanılabilir"
,DNA,DNA,,yes,,"an acronym for DeoxyriboNucleic Acid; the building blocks of genetic information",Gramps_Glossary/tr#dna
,Dock,Dock,,yes,terminology,"GUI term: add a Gramplet to the Dashboard view or splitbar containers",Gramps_Glossary/tr#dock
,document,belge,,False,,,
,DTD,DTD,,yes,,"an acronym for Document Type Definition: a standardized document format defining of the structure of a file",Gramps_Glossary/tr#dtd
,duplicate,yinelenmiş,,False,,,
,Edit_Database_Owner_Information,Veritabanı_Sahibi_Bilgilerini_Düzenle,,False,,,
,edit,düzenle,,False,,,
,Edit Family,Edit Family,,yes,terminology,"revise the structured data describing the basic relationship grouping of tightly knit persons",Gramps_Glossary/tr#edit_family
,Editing_dates,Tarihleri_düzenleme,,False,,,
,Editing_information_about_notes,Notlarla_ilgili_bilgileri_düzenleme,,False,,,
,Editing_information_about_people,Kişiler_hakkındaki_bilgileri_düzenleme,,False,,,
,editor,düzenleyici,,False,,,
,Edit Person,Edit Person,,yes,terminology,"revise the structured data describing an individual",Gramps_Glossary/tr#edit_person
,Elul,Elul,,False,,,
,Emigration,Göç,,False,,,Emigrate ve Immigrate kelimeleri Türkçeye göç olarak çevirmektense emigrate kelimesi göç immagrate kelimesi ise taşınma anlamında çevrilmiştir.
,enclosed by,içeren,,False,,,
,error,hata,,False,,,
,Error_Report,Hata_Raporu,,False,,,
,Event,Etkinlik,,yes,terminology,"structured data about a happening",Gramps_Glossary/tr#event
,Event_Reference_Editor_dialog,Etkinlik_Referans_Düzenleyici_penceresi,,False,,,manual
,Event Role,etkinlikteki rolu,,yes,terminology,"the part a person plays in a happening",Gramps_Glossary/tr#event_role
,Events,Etkinlikler,,False,,,
,event type,etkinlik türü,,yes,terminology,"generic grouping of happenings",Gramps_Glossary/tr#event_type
,Example,Örnek,,False,,,
,existing,var olan,,False,,,
,expand,genişlet,,False,,,
,export,dışa aktar,,False,,,
,Extract_Information_from_Names,Adlardan_Bilgi_Çıkar,,False,,,
,Fallback events,Fallback events,,yes,terminology,"various happenings that are considered comparable to a missing vital statistic happening",Gramps_Glossary/tr#fallback
,families,aileler,,False,,,
,families of interest,ilgili aileler,,False,,,
,Family_Editor_dialog,Aile_Düzenleyicisi_iletişim_kutusu,,False,,,
,Family,Aile,,yes,terminology,"",Gramps_Glossary/tr#family
,family line,aile hattı,,False,,,
,family lines,aile hatları,,False,,,
,familynick,aile lakabı,,False,,,
,family tree,soyağacı,,False,,,
,fan chart,üstsoy yelpaze,,False,,,
,fanchart,yelpaze çizelgesi,,False,,,
,father,baba,,False,,,
,feudal,hanedan,,False,,,
,File Chooser,File Chooser,,yes,terminology,"",Gramps_Glossary/tr#file_chooser
,file,dosya,,False,,,
,File formats,Dosya formatları,,yes,terminology,"standard structures for storing data in a computer file identified by its file extension",Gramps_Glossary/tr#file_format
,filename,dosya adı,,False,,,
,Filter,Filter,,yes,terminology,"",Gramps_Glossary/tr#filter
,filters,süzgeçler,,False,,,
,filter,süzgeç,,False,,,
,Find_database_loop,Veritabanı_döngüsünü_bul,,False,,,
,Find_Possible_Duplicate_People,Muhtemel_Yinelenen_Kişileri_Bul,,False,,,
,Fix_Capitalization_of_Family_Names,Aile_Adlarının_Büyük_Harf_Düzeltmesi,,False,,,
,Folder,Klasör,,False,,,
,font,yazı tipi,,False,,,ayrı yazılmalıdır
,footer,altbilgi,,False,,,"טכנולוגיית המידע (תשס""ג, 2002) סיומת עמוד footer, running foot מילון עיבוד תמלילים [טכנולוגיית המידע]"
,for,için,,False,,,
,format,biçim,,False,,,"טכנולוגיית המידע (תשע""ה, 2015) תסדיר בשפות תכנות – צרף שפה המפרט באמצעות תווים את הייצוג של עצמי נתונים ברשומה, בקובץ, במסר, בהתקן אחסון או באפיק שידור. הפועל: תִּסְדֵּר format n. מילון שפות תכנות [טכנולוגיית המידע] > טיפוסי נתונים"
,forward,ileri,,False,,,
,full name,ad soyad,,False,,,
,funeral,cenaze,,False,,,
,GEDCOM,GEDCOM,,yes,,"an acronym for the Genealogical Data Communication standardized data interchange format",Gramps_Glossary/tr#gedcom
,GENDEX,GENDEX,,False,,,
,genealogical,soy,,False,,,
,general,genel,,False,,,
,Generate_Testcases_for_Persons_and_Families,Kişiler_ve_Aileler_için_Test_Kılıfları_Oluşturun,,False,,,
,generation,kuşak,,False,,,
,generations,kuşaklar,,False,,,
,GeneWeb,GeneWeb,,False,,,program adı olduğu için çevrilmemelidir.
,Geography,Coğrafya,,False,,,
,Geography View,Coğrafya Görünümü,,False,,,
,given,ad,,False,,,
,given name,ad soyadı,,False,,,
,glance,bakış(ta),,False,,,
,Godparent,Godparent,,yes,,"a term to identify the Christening/Baptism Event Role as being a surrogate parent",Gramps_Glossary/tr#godparent
,Gramplet,Gramplet,,yes,terminology,"a type of small embeddable Gramps plugin which extends the interface to dynamically interact with genealogy data",Gramps_Glossary/tr#gramplet
,Gramps for Desktops,Gramps for Desktops,,yes,terminology,"",Gramps_Glossary/tr#gramps
,Gramps,Gramps,,yes,terminology,"",Gramps_Glossary/tr#gramps
,Gramps Web for Servers,Gramps Web for Servers,,yes,terminology,"",Gramps_Glossary/tr#grampsweb
,graph,çizge,,False,,,
,Graphical User Interface,Graphical User Interface,,yes,terminology,"Visual system of icons, buttons, and menus enabling point-and-click software interaction",Gramps_Glossary/tr#graphical_user_interface
,graphs,çizgeler,,False,,,
,Groom,Damat,,yes,,"a term to identify the Marriage Role as being a husband",Gramps_Glossary/tr#groom
,grouping,kümelemek,,False,,,
,group,küme,,False,,,
,GUI,GUI,,yes,terminology,"an acronym for the Graphical User Interface of an app",Gramps_Glossary/tr#graphical_user_interface
,hide,gizle,,False,,,
,high,yüksek,,False,,,
,Home Person,ana kişi,,yes,terminology,"person designated as the persistent center of research",Gramps_Glossary/tr#home_person
,HTML,HTML,,False,,,
,ID,KNo,,False,,,"It is an abbreviated use of the words ""Kimlik numarası""."
,image,görüntü,,False,,,
,images,görüntüler,,False,,,
,import,içe aktar,,False,,,
,include,dahil et,,False,,,Esitetäänkö tieto vai ei
,index,dizin,,False,,,
,individuals,bireyler,,False,,,
,Informant,Bilgi veren,,yes,terminology,"a term to identify the Event Role as being the reporting source",Gramps_Glossary/tr#informant
,inherited,kalıt,,False,,,ad ile ilgiliyse kullanılmalı
,initials,baş harfler,,False,,,Ad(lar) ve soyad(lar)ın ilk harfleri.
,installation,kurulum,,False,,,
,Internet_Address_Editor,İnternet_Adresi_Düzenleyicisi,,False,,,
,issue,sayı,,False,,,
,item,öge,,False,,,
,items,ögeler,,False,,,
,JSON,JSON,,yes,,"an acronym for the JavaScript Object Notation data interchange format",Gramps_Glossary/tr#json
,keybinding,keybinding,,yes,terminology,"",Gramps_Glossary/tr#keybinding
,language,dil,,False,,,
,last,son,,False,,,
,LaTeX,LaTeX,,False,,,
,latitude,enlem,,False,,,
,LDS_Ordinance_Editor,LDS_Ayin_Düzenleyicisi,,False,,,manual
,left,sol,,False,,,
,level,seviye,,False,,,
,lineage,köken,,False,,,"""köken""den daha iyi bir çeviri ile değiştirilebilir. ""Baba - dede - dedenin babası - dedenin dedesi"" şeklinde giden soyu tanımlıyor. Köken genel anlamda karşılamasına rağmen Türkçede özellikle bu anlama gelen kelime var ise değiştirilmelidir."
,Link_Editor,İlişim_Düzenleyici,,False,,,
,link,ilişim,,False,,,
,links,ilişimler,,False,,,
,locations,konumlar,,False,,,
,Longitude,Boylam,,False,,,
,low,düşük,,False,,,
,main,ana,,False,,,
,main person,ana kişi,,False,,,
,manually,el ile,,False,,,
,map,harita,,False,,,
,maps,haritalar,,False,,,
,markers,işaretçiler,,False,,,
,mark,imle,,False,,,"Alternatif olarak ""işaretle"" kelimesi kullanılabilir."
,marriage,evlilik,,False,,,
,matrilineal,anaerkil,,False,,,
,matronymic,anne soylu,,False,,,
,matronym,matronym,,yes,,"",Gramps_Glossary/tr#matronymic
,max,en fazla,,False,,,
,maximum,en fazla,,False,,,
,Media,Ortam,,yes,terminology,"",Gramps_Glossary/tr#media
,media,ortam,,False,,,Mediaobjekti (kuvan metatiedot)
,Media_Reference_Editor_dialog,Medya_Referans_Editörü_iletişim_kutusu,,False,,,
,Media_Reference_Editor_dialog,Ortam_Referans_Editörü_iletişim_kutusu,,False,,,
,Merge_citations,Alıntıları_birleştir,,False,,,
,Merge_Events,Etkinlikleri_Birleştir,,False,,,manual
,Merge_Families,Aileleri_Birleştir,,False,,,manual
,Merge_Media_Objects,Ortam_Nesnelerini_Birleştir,,False,,,manual
,Merge,Merge,,yes,terminology,"",Gramps_Glossary/tr#merge
,Merge_Notes,Notları_Birleştir,,False,,,
,Merge_People,Kişileri_Birleştir,,False,,,
,Merge_Places,Yerleri_Birleştir,,False,,,
,Merge_Sources,Kaynakları_Birleştir,,False,,,
,message,ileti,,False,,,
,metadata,meta veri,,False,,,
,Minimumm,en az,,False,,,
,Mode,kip,,yes,terminology,"",Gramps_Glossary/tr#viewmode
,month,ay,,False,,,
,months,aylar,,False,,,
,mother,anne,,False,,,
,mothers,anneler,,False,,,
,name,ad,,False,,,
,Name_Editor,Ad_Düzenleyici,,False,,,
,Name Origin,Name Origin,,yes,terminology,"",Gramps_Glossary/tr#name_origin
,names,adlar,,False,,,
,Narrated Web Report,Anlatılan Web Raporu,,False,,,
,narrative,anlatı,,False,,,
,narrative website,anlatı web sitesi,,False,,,
,navigation,gezinme,,False,,,
,Navigation Menu Layout,Gezinme Menü Yerleşimi,,False,,,
,Navigator,Navigator,,yes,terminology,"",Gramps_Glossary/tr#navigator
,New_Citation_dialog,Yeni_Alıntı_penceresi,,False,,,
,New_Event_dialog,Yeni_Etkinlik_penceresi,,False,,,manual
,New_Media_dialog,Yeni_Ortam_iletişim_kutusu,,False,,,manual
,New_Repository_dialog,Yeni_Depo_iletişim_kutusu,,False,,,manual
,New_Source_dialog,Yeni_Kaynak_iletişim_kutusu,,False,,,manual
,newspaper,gazete,,False,,,
,New_Tag_dialog,Yeni_Etiket_penceresi,,False,,,manual
,new,yeni,,False,,,
,next,sonraki,,False,,,
,nickname,lakap,,False,,,
,Nisan,Nisan,,False,,,
,Nobility Title,Asalet Unvanı,,False,,,
,node,düğüm,,False,,,"טכנולוגיית המידע (תשס""ז, 2007) צֹמֶת node מילון מושגים בסיסיים בטכנולוגיית המידע (תשס""ג, 2002)"
,nodes,düğümler,,False,,,
,Note,Not,,yes,terminology,"",Gramps_Glossary/tr#note
,notes,notlar,,False,,,
,Not_Related,Alakasız,,False,,,
,number,numara,,False,,,
,Object Editor,Object Editor,,yes,terminology,"",Gramps_Glossary/tr#object_editor
,Object,nesne,,yes,terminology,"structured database container for one full genealogical record (not a programming object)",Gramps_Glossary/tr#object
,Object Reference Editors,Object Reference Editors,,yes,terminology,"",object_reference_editors
,objects,nesneler,,False,,,
,occupation,uğraşı,,False,,,
,Officiator,Görevli,,yes,terminology,"",Gramps_Glossary/tr#officiator
,offline,çevrimdışı,,False,,,
,oo,hayır,,False,,,
,option,seçenek,,False,,,
,options,seçenekler,,False,,,Käyttäjän valintavaihtoehdot
,ordinance,ayin,,False,,,
,others,diğerleri,,False,,,
,outline,kenarlık,,False,,,
,output,çıktı,,False,,,
,page,sayfa,,False,,,"ספרנות (תשס""ד, 2003) דַּף leaf, folio מילון ספרנות"
,pages,sayfalar,,False,,,
,Paper Option,Kağıt Seçeneği,,False,,,
,parameter,katsayı,,False,,,
,parameters,katsayılar,,False,,,
,parent,ebeveyn,,False,,,
,parents,ebeveynler,,False,,,
,partner,eş,,False,,,
,patrilineal,ataerkil,,False,,,
,patronymic,baba soylu,,False,,,
,patronym,patronym,,yes,terminology,"",Gramps_Glossary/tr#patronymic
,Pedigree,Soyağacı,,False,,,
,people,insanlar,,False,,,
,people of interest,ilgili kişiler,,False,,,
,Person,Kişi,,yes,terminology,"A ""person"" record within Gramps",Gramps_Glossary/tr#person
,Person_Reference_Editor,Kişi_Referans_Editörü,,False,,,
,.php,.php,,False,,,
,PHP,PHP,,False,,,
,pie chart,pasta çizelge,,False,,,
,pie,pasta,,False,,,Grafikten bahsettiğini düşünerek çevrilmiştir.
,Place_Editor_dialog,Yer_Editor_iletişim_kutusu,,False,,,
,Place_Name_Editor_dialog,Yer_Adı_Düzenleyicisi_iletişim_kutusu,,False,,,
,Place,Yer,,yes,terminology,"",Gramps_Glossary/tr#place
,places,yerler,,False,,,
,please,lütfen,,False,,,
,Plug-in,eklenti,,yes,terminology,"expansion module managed with the Addon Manager",Gramps_Glossary/tr#plugin
,Plugin,eklenti,,yes,terminology,"expansion module managed with the Addon Manager",Gramps_Glossary/tr#plugin
,POSIX,POSIX,,yes,,"",Gramps_Glossary/tr#posix
,Preferences,Tercihler,,yes,terminology,"global user-configurable settings that persistently customize Gramps behavior including appearance and functionality",Gramps_Glossary/tr#preferences
,prefix,önek,,False,,,
,Prerequisites,Prerequisites,,yes,terminology,"",Gramps_Glossary/tr#prerequisites
,previous,önceki,,False,,,
,primary,birincil,,False,,,
,Primary Object,birincil nesne,,yes,terminology,"top-level database record for the various categories",Gramps_Glossary/tr#primary_object
,Primary role,Birincil rol,,yes,terminology,"",Gramps_Glossary/tr#primary
,Private flag,Özel işareti,,yes,terminology,"",Gramps_Glossary/tr#private
,Private tag,Özel işareti,,yes,terminology,"",Gramps_Glossary/tr#private_tag
,proceed,devam et,,False,,,
,project,proje,,False,A project object within Gramps,,
,pseudonym,başka ad,,False,,,
,Public flag,genel flag,,yes,terminology,"",Gramps_Glossary/tr#public
,Public tag,genel tag,,yes,terminology,"",Gramps_Glossary/tr#public_tag
,published,yayınlanmış,,False,,,
,quality,kalite,,False,,,
,quantity,nicelik,,False,,,
,Quick View,Quick View,,yes,terminology,"",Gramps_Glossary/tr#quickview
,rawsurnames,hamsoyadları,,False,,,
,recursive,özyinelemeli,,False,,,
,Reference information,Reference information,,yes,terminology,"",Gramps_Glossary/tr#reference_information
,reference person,karşılaştırma kişisi,,False,,,
,Reference,Referans,,yes,terminology,"",Gramps_Glossary/tr#reference
,References tab,Referanslar sekmesi,,yes,terminology,"",Gramps_Glossary/tr#references_tab
,REFN,REFN,,False,,,A GEDCOM tag used to store a user-defined identifier.
,Regular Expressions,Regular Expressions,,yes,terminology,"",Gramps_Glossary/tr#regex
,relation,ilişki,,False,,,
,Relationship calculator,İlişki hesaplayıcı,,False,,,
,relationship,İlişki,,False,,,
,relationship view,ilişki görünümü,,False,,,
,Remove_leading_and_trailing_spaces,Baştaki_ve_sondaki_boşlukları_kaldırın,,False,,,manual
,Reorder_Gramps_ID,Gramps_KNo'yu_Yeniden_Sırala,,False,,,manual
,Reorder_Relationships_dialog,İlişkileri_Yeniden_Sırala_penceresi,,False,,,manual
,Re-order,yeniden sırala,,yes,terminology,"",Gramps_Glossary/tr#reorder
,repair,onarmak,,False,,,
,_Reports,_Raporlar,,False,,,
,Repositories,depolar,,yes,terminology,"",Gramps_Glossary/tr#repository
,Repository,Depo,,yes,terminology,"",Gramps_Glossary/tr#repository
,resources,kaynaklar,,False,,,
,right,sağ,,False,,,
,Role,Role,,yes,terminology,"",Gramps_Glossary/tr#role
,Roles,Roles,,yes,terminology,"",Gramps_Glossary/tr#role
,romanization,romanizasyon,,yes,,"",Gramps_Glossary/tr#romanization
,"_Roman (Times, serif)","_Roman (Times, serif)",,False,,,Yazı tipi adı olduğunu için çevrilmemelidir.
,roundabout,dolambaçlı,,False,,,
,RT90,RT90,,False,,,
,Rule,Kural,,yes,terminology,"",Gramps_Glossary/tr#rule
,Rules,Rules,,yes,terminology,"",Gramps_Glossary/tr#rule
,save,kaydet,,False,,,
,secondary object,ikincil nesne,,yes,terminology,"supporting database record attached to various primary objects",Gramps_Glossary/tr#secondary_object
,Sections,Bölümler,,False,,,
,Select_Child_selector,Çocuk_Seçiciyi_seçin,,False,,,
,Select_Event_selector,Etkinlik_Seçiciyi_Seçin,,False,,,manual
,Select_Family_selector,Aile_Seçiciyi_Seçin,,False,,,manual
,Select_Father_selector,Baba_Seçiciyi_seçin,,False,,,
,Select_Mother_selector,Anne_Seçiciyi_seçin,,False,,,
,Select_Note_selector,Not_Seçiciyi_seçin,,False,,,
,Selector combo box,Selector combo box,,yes,terminology,"",Gramps_Glossary/tr#selector_combo_box
,selector,selector,,yes,terminology,"",Gramps_Glossary/tr#selector
,Select_Person_selector,Kişi_Seçiciyi_seçin,,False,,,manual
,Select_Place_selector,Yer_Seçiciyi_seçin,,False,,,
,Select_Repository_selector,Depo_Seçiciyi_seçin,,False,,,manual
,Select_Source_selector,Kaynak_Seçiciyi_seçin,,False,,,manual
,service,hizmet,,False,,,
,setting,ayar,,False,,,
,settings,ayarlar,,False,,,
,Shared information,Shared information,,yes,terminology,"",Gramps_Glossary/tr#shared_information
,Shared object,Paylaşılan nesneler,,yes,terminology,"one secondary object shared across multiple primary objects with customizable attachment details",Gramps_Glossary/tr#sharing
,show,göster,,False,,,
,Sibling,Kardeş,,False,,,
,Size,Boyut,,False,,,
,Source,Kaynak,,yes,terminology,"",Gramps_Glossary/tr#source
,Sources,Kaynaklar,,yes,terminology,"",Gramps_Glossary/tr#source
,spreadsheet,e-tablo,,False,,,
,SQLite,SQLite,,yes,terminology,"",Gramps_Glossary/tr#sqlite
,Stamen,Stamen,,False,,,
,street,sokak,,False,,,
,structure,yapısı,,False,,,
,submitter,gönderen,,False,,,
,substring,Teilzeichenfolge,,False,,,
,suffix,sonek,,False,,,Adlandırmayla ilgili
,surname,soyadı,,False,,,
,Swatch,Swatch,,yes,terminology,"",Gramps_Glossary/tr#swatch
,"_Swiss (Arial, Helvetica, sans-serif)","_Swiss (Arial, Helvetica, sans-serif)",,False,,,Yazı tipi adı olduğunu için çevrilmemelidir.
,Tags,Etiketler,,yes,terminology,"custom titles and color-coding applied to objects",Gramps_Glossary/tr#tag
,Tag,etiket,,yes,terminology,"a custom title and color-coding applied to an object",Gramps_Glossary/tr#tag
,.tar.gz,.tar.gz,,False,,,
,this,bu,,False,,,
,thumbnail,küçük resim,,False,,,
,tile,kaplama,,False,,,
,tiles,kaplamalar,,False,,,
,Timeline,Zaman Çizgisi,,False,,,
,Tishri,Tiszri,,False,,,
,title,san,,False,,,
,To Do,Yapılacak,,False,,,
,tool,araç,,False,,,
,Toolbar,Araç çubuğu,,yes,terminology,"GUI term: ribbon of button shortcuts to trigger a View task or mode of operation",Gramps_Glossary/tr#toolbar
,_Tools,_Araçlar,,False,,,
,tools,araçlar,,False,,,
,tooltip,ipucu,,False,,,
,top,üst,,False,,,
,total,toplam,,False,,,
,transparent,saydam,,False,,,
,tree,ağaç,,False,,,
,trees,ağaçlar,,False,,,
,Try to find,Bulmayı dene,,False,,,
,type,tür,,False,,,
,Typographical conventions,Typographical conventions,,yes,,"customary formatting implying special (and possibly peculiar) meaning",Gramps_Glossary/tr#typographical_conventions
,Undock,Undock,,yes,terminology,"GUI term: float a Gramplet free from the Dashboard view or splitbar containers",Gramps_Glossary/tr#dock
,unique,benzersiz,,False,,,
,unique,eşsiz,,False,,,
,Unknown,Bilinmeyen,,yes,terminology,"term indicating the role played in an Event has not been identified",Gramps_Glossary/tr#unknown
,unmarried,evlenmemiş,,False,,,
,Unmarried partnership,Evlenmemiş birliktelik,,False,,,
,unpublished,yayınlanmamış,,False,,,
,Until,Değin,,False,,,
,update,güncelleme,,False,,,
,upgrade,yükseltme,,False,,,
,upright,dik,,False,,,
,up,yukarı,,False,,,
,User Directory,Kullanıcı Dizini,,yes,terminology,"alias for the path to a file folder location storing customizations and data for apps",Gramps_Glossary/tr#user_directory
,Verify_the_Data,Verileri_Doğrulayın,,False,,,
,version,sürüm,,False,,,
,very,çok,,False,,,
,View category,Görünüm bölümü,,yes,terminology,"collection of View modes presenting differing aspects of similar structured information",Gramps_Glossary/tr#view_category
,View mode,Görünüm kipi,,yes,terminology,"display layouts presenting a View category's structured information in a predictable manner",Gramps_Glossary/tr#viewmode
,View,Görünüm,,yes,terminology,"the currently active display mode in a Category with filtered data. Including supplemental controls and gramplet displays",Gramps_Glossary/tr#view
,volume,cilt,,False,,,
,Volume/Page,Cilt/Sayfa,,False,,,
,web,web,,False,,,
,What's Next?,Sıradaki Ne?,,False,,,
,Wiki,viki,,yes,terminology,"a collaboratively maintained website",Gramps_Glossary/tr#wiki
,Witness,Tanık,,yes,,"a term to identify the Event Role as being an observer",Gramps_Glossary/tr#witness
